,"R","c","f","R-f","F-c"
,"0.9851722978605973",0.985172357084115,0.985172297973829,-1.13231868326125E-10,5.91102859992532E-08
,"0.9055178588367291",0.905516377827035,0.905517859617419,-7.80689846102689E-10,-1.48179038395035E-06
,"0.7158298049974855",0.715824999875357,0.715829807265668,-2.26818253068473E-09,-4.80739031094579E-06
,"0.4505173979158392",0.450518606243142,0.450517400558567,-2.64272786987263E-09,1.20568457501191E-06
,"0.1831993792339815",0.183203232563272,0.183199390395829,-1.11618475295838E-08,3.84216744298005E-06
,"0.0389832827975644",0.038984634278777,0.038982317365178,9.65432386396126E-07,2.31691359900421E-06
,"0.0049370973588171",0.004938582215824,0.004938347461554,-1.25010273690097E-06,2.34754269999755E-07
,"0.0005161880369180",0.000516855288948,0.00051628672615,-9.86892319999487E-08,5.68562798000097E-07
,"0.0000516427773414",5.20373434172275E-05,5.176066469E-05,-1.17887348600006E-07,2.76678727227499E-07
,"0.0000052573366541",5.20852466881296E-06,5.409781441E-06,-1.524447869E-07,-2.0125677218704E-07
,"0.0000003728345038",5.2092424084858E-07,6.10756272E-07,-2.379217682E-07,-8.983203115142E-08
,"-0.0000002292249114",5.20936978152663E-08,-1.9980767E-07,-2.94172414E-08,2.51901367815266E-07
,,,,0,0
,"0.0000338639915639",3.3863999086964E-05,3.3863991179E-05,3.84899997616338E-13,7.90796399717519E-12
,"0.0000224043732836",2.24042972498766E-05,2.2404373019E-05,2.64599994204747E-13,-7.57691234041136E-11
,"0.0000091855006902",9.18544875456787E-06,9.1855006E-06,9.02000015342219E-14,-5.18454321290249E-11
,"0.0000032228865393",3.2228971232658E-06,3.222886503E-06,3.63000005657824E-14,1.06202658001934E-11
,"0.0000008942297405",8.9424339811818E-07,8.94229752E-07,-1.14999999887766E-14,1.36461181799979E-11
,"0.0000001621391540",1.62182284985159E-07,1.62181638E-07,-4.24840000000034E-11,6.46985158968091E-13
,"0.0000000198451811",1.98511845444543E-08,1.985024E-08,-5.05890000000294E-12,9.44544454299107E-13
,"0.0000000020658053",2.06847744744505E-09,2.0662E-09,-3.94699999999674E-13,2.27744744505057E-12
,"0.0000000002065815",2.08160076074736E-10,2.07053E-10,-4.71500000000038E-13,1.107076074736E-12
,"0.0000000000210294",2.08342058929527E-11,2.1639E-11,-6.09599999999997E-13,-8.04794107047296E-13
,"0.0000000000014913",2.08369803585585E-12,2.443E-12,-9.517E-13,-3.5930196414415E-13
,"-0.0000000000009169",2.08374801986003E-13,-7.99E-13,-1.179E-13,1.007374801986E-12
,,,,0,0
,"0.0147938381478390",0.014793778916799,0.014793838034992,1.12846999106297E-10,-5.91181929989609E-08
,"0.0944597367899874",0.094461217875716,0.094459736009562,7.80425390978223E-10,1.48186615400725E-06
,"0.2841610095018247",0.284165814675889,0.284161007233732,2.26809271364203E-09,4.80744215702877E-06
,"0.5494793791976222",0.549478170859735,0.54947937655493,2.64269228722469E-09,-1.20569519490576E-06
,"0.8167997265362784",0.816795873193331,0.816799715374418,1.11618603249042E-08,-3.84218108706591E-06
,"0.9610165550632767",0.961015203538939,0.961017520453183,-9.65389906348868E-07,-2.31691424401603E-06
,"0.9950628827959974",0.995061397932992,0.995061632688171,1.25010782636714E-06,-2.34755178962764E-07
,"0.9994838098972720",0.999483142642575,0.999483711207615,9.86896568910822E-08,-5.68565039937852E-07
,"0.9999483570160715",0.999947962448423,0.999948239128224,1.178878474839E-07,-2.76679800959023E-07
,"0.9999947426423110",0.999994791454498,0.999994590196887,1.52445423950986E-07,2.01257611021077E-07
,"0.9999996271639994",0.999999479073676,0.999999389241262,2.37922737289509E-07,8.98324139519957E-08
,"1.0000002292258134",0.999999947906094,1.00000019980848,2.94173334580705E-08,-2.51902385950409E-07
